星,名詞,一般,,,,,星,ホシ,ホシ
太陽,名詞,一般,,,,,太陽,タイヨウ,タイヨー
の,助詞,連体化,,,,,の,ノ,ノ
下,名詞,一般,,,,,下,シタ,シタ
に,助詞,格助詞,一般,,,,に,ニ,ニ
新しき,形容詞,自立,,,形容詞・イ段,体言接続,新しい,アタラシキ,アタラシキ
こと,名詞,非自立,一般,,,,こと,コト,コト
なし,形容詞,自立,,,形容詞・アウオ段,文語基本形,ない,ナシ,ナシ
と,助詞,格助詞,引用,,,,と,ト,ト
は,助詞,係助詞,,,,,は,ハ,ワ
古人,名詞,一般,,,,,古人,コジン,コジン
の,助詞,連体化,,,,,の,ノ,ノ
道破,名詞,サ変接続,,,,,道破,ドウハ,ドーハ
し,動詞,自立,,,サ変・スル,連用形,する,シ,シ
た,助動詞,,,,特殊・タ,基本形,た,タ,タ
言葉,名詞,一般,,,,,言葉,コトバ,コトバ
で,助動詞,,,,特殊・ダ,連用形,だ,デ,デ
ある,助動詞,,,,五段・ラ行アル,基本形,ある,アル,アル
。,記号,句点,,,,,。,。,。
しかし,接続詞,,,,,,しかし,シカシ,シカシ
新しい,形容詞,自立,,,形容詞・イ段,基本形,新しい,アタラシイ,アタラシイ
こと,名詞,非自立,一般,,,,こと,コト,コト
の,助詞,格助詞,一般,,,,の,ノ,ノ
ない,形容詞,自立,,,形容詞・アウオ段,基本形,ない,ナイ,ナイ
の,名詞,非自立,一般,,,,の,ノ,ノ
は,助詞,係助詞,,,,,は,ハ,ワ
独り,名詞,一般,,,,,独り,ヒトリ,ヒトリ
太陽,名詞,一般,,,,,太陽,タイヨウ,タイヨー
の,助詞,連体化,,,,,の,ノ,ノ
下,名詞,一般,,,,,下,シタ,シタ
ばかり,助詞,副助詞,,,,,ばかり,バカリ,バカリ
で,助動詞,,,,特殊・ダ,連用形,だ,デ,デ
は,助詞,係助詞,,,,,は,ハ,ワ
ない,助動詞,,,,特殊・ナイ,基本形,ない,ナイ,ナイ
。,記号,句点,,,,,。,。,。
天文学,名詞,一般,,,,,天文学,テンモンガク,テンモンガク
者,名詞,接尾,一般,,,,者,シャ,シャ
の,助詞,連体化,,,,,の,ノ,ノ
説,名詞,一般,,,,,説,セツ,セツ
に,助詞,格助詞,一般,,,,に,ニ,ニ
よれ,動詞,自立,,,五段・ラ行,仮定形,よる,ヨレ,ヨレ
ば,助詞,接続助詞,,,,,ば,バ,バ
、,記号,読点,,,,,、,、,、
ヘラクレス,名詞,一般,,,,,ヘラクレス,ヘラクレス,ヘラクレス
星,名詞,一般,,,,,星,ホシ,ホシ
群,名詞,接尾,一般,,,,群,グン,グン
を,助詞,格助詞,一般,,,,を,ヲ,ヲ
発し,動詞,自立,,,五段・サ行,連用形,発す,ハッシ,ハッシ
た,助動詞,,,,特殊・タ,基本形,た,タ,タ
光,名詞,一般,,,,,光,ヒカリ,ヒカリ
は,助詞,係助詞,,,,,は,ハ,ワ
我,連体詞,,,,,,我,ワガ,ワガ
我,名詞,一般,,,,,我,ワレ,ワレ
の,助詞,連体化,,,,,の,ノ,ノ
地球,名詞,一般,,,,,地球,チキュウ,チキュー
へ,助詞,格助詞,一般,,,,へ,ヘ,エ
達する,動詞,自立,,,サ変・−スル,基本形,達する,タッスル,タッスル
の,名詞,非自立,一般,,,,の,ノ,ノ
に,助詞,格助詞,一般,,,,に,ニ,ニ
三,名詞,数,,,,,三,サン,サン
万,名詞,数,,,,,万,マン,マン
六,名詞,数,,,,,六,ロク,ロク
千,名詞,数,,,,,千,セン,セン
年,名詞,接尾,助数詞,,,,年,ネン,ネン
を,助詞,格助詞,一般,,,,を,ヲ,ヲ
