一,名詞,数,,,,,一,イチ,イチ
　,記号,空白,,,,,　,　,　
猫,名詞,一般,,,,,猫,ネコ,ネコ
彼等,名詞,代名詞,一般,,,,彼等,カレラ,カレラ
は,助詞,係助詞,,,,,は,ハ,ワ
田舎,名詞,一般,,,,,田舎,イナカ,イナカ
に,助詞,格助詞,一般,,,,に,ニ,ニ
住ん,動詞,自立,,,五段・マ行,連用タ接続,住む,スン,スン
で,助詞,接続助詞,,,,,で,デ,デ
ゐる,動詞,自立,,,一段,基本形,ゐる,ヰル,イル
うち,名詞,非自立,副詞可能,,,,うち,ウチ,ウチ
に,助詞,格助詞,一般,,,,に,ニ,ニ
、,記号,読点,,,,,、,、,、
猫,名詞,一般,,,,,猫,ネコ,ネコ
を,助詞,格助詞,一般,,,,を,ヲ,ヲ
一,名詞,数,,,,,一,イチ,イチ
匹,名詞,接尾,助数詞,,,,匹,ヒキ,ヒキ
飼,名詞,一般,,,,,飼,飼,飼
ふ,名詞,一般,,,,,ふ,フ,フ
こと,名詞,非自立,一般,,,,こと,コト,コト
に,助詞,格助詞,一般,,,,に,ニ,ニ
し,動詞,自立,,,サ変・スル,連用形,する,シ,シ
た,助動詞,,,,特殊・タ,基本形,た,タ,タ
。,記号,句点,,,,,。,。,。
猫,名詞,一般,,,,,猫,ネコ,ネコ
は,助詞,係助詞,,,,,は,ハ,ワ
尾,名詞,一般,,,,,尾,オ,オ
の,助詞,格助詞,一般,,,,の,ノ,ノ
長い,形容詞,自立,,,形容詞・アウオ段,基本形,長い,ナガイ,ナガイ
黒,名詞,一般,,,,,黒,クロ,クロ
猫,名詞,一般,,,,,猫,ネコ,ネコ
だ,助動詞,,,,特殊・ダ,基本形,だ,ダ,ダ
つ,助動詞,,,,下二・タ行,基本形,つ,ツ,ツ
た,助動詞,,,,特殊・タ,基本形,た,タ,タ
。,記号,句点,,,,,。,。,。
彼等,名詞,代名詞,一般,,,,彼等,カレラ,カレラ
は,助詞,係助詞,,,,,は,ハ,ワ
この,連体詞,,,,,,この,コノ,コノ
猫,名詞,一般,,,,,猫,ネコ,ネコ
を,助詞,格助詞,一般,,,,を,ヲ,ヲ
飼,名詞,一般,,,,,飼,飼,飼
ひ,動詞,自立,,,一段,連用形,ひる,ヒ,ヒ
